mois,jour,heure,consommation,prevision_1,prevision_0,fioul,charbon,gaz,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,echanges_physiques,taux_co2,echanges_angleterre,echanges_espagne,echanges_italie,echanges_suisse,echanges_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydro_ecluses,hydro_lacs,hydro_turbines,bio_dechets,bio_biomasse,bio_biogaz
1,1,0,151240.0,300650.0,301650.0,765.0,3085.0,14243.0,106984.0,578.0,-2.0,13463.0,-23.0,2189.0,9957.0,141.0,4.0,-2616.0,2320.0,110.0,9756.0,42.0,178.0,538.0,6.0,4746.0,9379.0,112.0,5309.0,7125.0,1031.0,1118.0,571.0,501.0
1,1,1,145594.0,294550.0,294550.0,1183.0,2319.0,13188.0,106860.0,718.0,-2.0,10985.0,-429.0,2190.0,8584.0,123.0,-2000.0,-1130.0,2320.0,-880.0,10944.0,42.0,180.0,948.0,16.0,4752.0,8298.0,122.0,5198.0,4974.0,812.0,1114.0,568.0,508.0
1,1,2,143956.0,287500.0,288400.0,1233.0,2080.0,12952.0,106703.0,714.0,-2.0,9972.0,-328.0,2196.0,8437.0,120.0,-2000.0,-760.0,2320.0,-1394.0,11280.0,41.0,180.0,998.0,16.0,4671.0,8142.0,123.0,4796.0,4905.0,272.0,1115.0,571.0,510.0
1,1,3,137757.0,273500.0,274000.0,1109.0,2039.0,12081.0,106222.0,681.0,-2.0,9534.0,-2388.0,2187.0,6296.0,117.0,-2000.0,-566.0,-1732.0,-2046.0,11574.0,42.0,180.0,874.0,16.0,4681.0,7262.0,123.0,4651.0,4883.0,0.0,1112.0,569.0,507.0
1,1,4,131814.0,262800.0,263100.0,739.0,1963.0,11309.0,106179.0,768.0,-2.0,8565.0,-2739.0,2180.0,2852.0,109.0,-2000.0,-2766.0,-2382.0,-2160.0,11284.0,41.0,180.0,505.0,16.0,4659.0,6511.0,122.0,4548.0,3806.0,210.0,1114.0,564.0,503.0
1,1,5,128685.0,260000.0,258800.0,373.0,2060.0,11395.0,106464.0,838.0,-2.0,7366.0,-3031.0,2193.0,1028.0,108.0,-638.0,-4764.0,-2202.0,-1962.0,10740.0,42.0,180.0,139.0,16.0,4619.0,6638.0,122.0,4059.0,3309.0,0.0,1120.0,571.0,502.0
1,1,6,128024.0,261200.0,257150.0,404.0,2101.0,11429.0,106527.0,873.0,-2.0,7176.0,-3547.0,2185.0,879.0,110.0,-38.0,-5262.0,-2028.0,-1418.0,10452.0,42.0,180.0,170.0,16.0,4611.0,6679.0,122.0,3928.0,3250.0,-2.0,1120.0,564.0,501.0
1,1,7,127701.0,262700.0,258550.0,365.0,2033.0,11322.0,106427.0,1018.0,-2.0,7111.0,-3543.0,2178.0,793.0,108.0,210.0,-5184.0,-1806.0,-1334.0,9978.0,42.0,175.0,134.0,16.0,4599.0,6586.0,122.0,4094.0,3018.0,-2.0,1116.0,560.0,503.0
1,1,8,128375.0,264300.0,259750.0,350.0,2026.0,11319.0,106379.0,1092.0,1.0,7378.0,-3628.0,2171.0,1289.0,108.0,2000.0,-5652.0,-1892.0,-1938.0,9100.0,41.0,170.0,124.0,16.0,4592.0,6589.0,122.0,4314.0,3066.0,-2.0,1121.0,551.0,499.0
1,1,9,129752.0,268150.0,264150.0,350.0,2085.0,11511.0,106375.0,1184.0,304.0,7806.0,-3593.0,2166.0,1564.0,108.0,720.0,-5928.0,-1738.0,-2332.0,11430.0,40.0,170.0,124.0,16.0,4699.0,6673.0,122.0,4470.0,3338.0,-2.0,1114.0,554.0,498.0
1,1,10,133640.0,275950.0,272200.0,358.0,2195.0,11530.0,106588.0,1235.0,1247.0,8554.0,-2829.0,2163.0,2599.0,108.0,-38.0,-5400.0,-724.0,-1990.0,11604.0,41.0,174.0,128.0,16.0,4607.0,6784.0,122.0,4495.0,4060.0,-1.0,1115.0,548.0,501.0
1,1,11,136892.0,280800.0,278800.0,358.0,2235.0,11565.0,106658.0,1311.0,2155.0,9463.0,-3025.0,2165.0,4008.0,107.0,-2000.0,-2818.0,-294.0,-1052.0,11284.0,40.0,178.0,125.0,16.0,4604.0,6822.0,122.0,4554.0,4910.0,0.0,1112.0,554.0,499.0
1,1,12,140201.0,284900.0,286250.0,362.0,2245.0,11592.0,106659.0,1431.0,2710.0,9771.0,-2599.0,2139.0,5891.0,107.0,-2000.0,-2388.0,1294.0,-1378.0,10994.0,40.0,182.0,125.0,16.0,4606.0,6846.0,122.0,4796.0,4907.0,68.0,1101.0,539.0,498.0
1,1,13,142174.0,282050.0,286650.0,366.0,2173.0,11480.0,106441.0,1475.0,2878.0,12998.0,-1817.0,2145.0,4036.0,102.0,-2000.0,-4788.0,1294.0,-1634.0,10302.0,40.0,182.0,132.0,16.0,4616.0,6724.0,122.0,5109.0,7233.0,656.0,1108.0,541.0,497.0
