mois,jour,heure,perte
1,1,0,1738
1,1,1,1651
1,1,2,1644
1,1,3,1586
1,1,4,1472
1,1,5,1385
1,1,6,1362
1,1,7,1337
1,1,8,1333
1,1,9,1299
1,1,10,1258
1,1,11,1264
1,1,12,1262
1,1,13,1226
1,1,14,1308
1,1,15,1443
1,1,16,1437
1,1,17,1372
1,1,18,1417
1,1,19,1428
1,1,20,1422
1,1,21,1465
1,1,22,1426
1,1,23,1492
1,2,0,1498
1,2,1,1495
1,2,2,1487
1,2,3,1518
1,2,4,1532
1,2,5,1524
1,2,6,1477
1,2,7,1437
1,2,8,1471
1,2,9,1574
1,2,10,1548
1,2,11,1533
1,2,12,1556
1,2,13,1561
1,2,14,1476
1,2,15,1449
1,2,16,1456
1,2,17,1474
1,2,18,1536
1,2,19,1596
1,2,20,1593
1,2,21,1565
1,2,22,1583
1,2,23,1627
1,3,0,1575
1,3,1,1590
1,3,2,1384
1,3,3,1263
1,3,4,1115
1,3,5,1161
1,3,6,1229
1,3,7,1274
1,3,8,1300
1,3,9,1342
1,3,10,1322
1,3,11,1379
1,3,12,1470
1,3,13,1408
1,3,14,1430
1,3,15,1565
1,3,16,1632
1,3,17,1615
1,3,18,1703
1,3,19,1631
1,3,20,1591
1,3,21,1601
1,3,22,1626
1,3,23,1657
1,4,0,1515
1,4,1,1473
1,4,2,1448
1,4,3,1460
1,4,4,1433
1,4,5,1505
1,4,6,1543
1,4,7,1519
1,4,8,1539
1,4,9,1610
1,4,10,1580
1,4,11,1532
1,4,12,1531
1,4,13,1529
1,4,14,1515
1,4,15,1465
1,4,16,1442
1,4,17,1507
1,4,18,1612
1,4,19,1639
1,4,20,1653
1,4,21,1697
1,4,22,1663
1,4,23,1619
1,5,0,1634
1,5,1,1562
1,5,2,1559
1,5,3,1558
1,5,4,1627
1,5,5,1603
1,5,6,1517
1,5,7,1573
1,5,8,1636
1,5,9,1572
1,5,10,1530
1,5,11,1561
1,5,12,1578
1,5,13,1533
1,5,14,1563
1,5,15,1524
1,5,16,1531
1,5,17,1614
1,5,18,1720
1,5,19,1679
1,5,20,1554
1,5,21,1508
1,5,22,1530
1,5,23,1583
1,6,0,1530
1,6,1,1521
1,6,2,1536
1,6,3,1516
1,6,4,1501
1,6,5,1472
1,6,6,1488
1,6,7,1610
1,6,8,1712
1,6,9,1711
1,6,10,1663
1,6,11,1624
1,6,12,1605
1,6,13,1568
1,6,14,1556
1,6,15,1514
1,6,16,1560
1,6,17,1680
1,6,18,1773
1,6,19,1737
1,6,20,1625
1,6,21,1591
1,6,22,1584
1,6,23,1615
1,7,0,1568
1,7,1,1524
1,7,2,1595
1,7,3,1680
1,7,4,1727
1,7,5,1788
1,7,6,1749
1,7,7,1826
1,7,8,1835
1,7,9,1774
1,7,10,1693
1,7,11,1646
1,7,12,1606
1,7,13,1596
1,7,14,1587
1,7,15,1569
1,7,16,1540
1,7,17,1560
1,7,18,1689
1,7,19,1716
1,7,20,1690
1,7,21,1590
1,7,22,1524
1,7,23,1607
1,8,0,1515
1,8,1,1503
1,8,2,1520
1,8,3,1428
1,8,4,1465
1,8,5,1429
1,8,6,1490
1,8,7,1640
1,8,8,1712
1,8,9,1755
1,8,10,1706
1,8,11,1618
1,8,12,1599
1,8,13,1579
1,8,14,1511
1,8,15,1472
1,8,16,1426
1,8,17,1564
1,8,18,1700
1,8,19,1720
1,8,20,1596
1,8,21,1513
1,8,22,1470
1,8,23,1499
1,9,0,1433
1,9,1,1363
1,9,2,1348
1,9,3,1301
1,9,4,1410
1,9,5,1390
1,9,6,1324
1,9,7,1375
1,9,8,1414
1,9,9,1483
1,9,10,1418
1,9,11,1436
1,9,12,1498
1,9,13,1505
1,9,14,1522
1,9,15,1504
1,9,16,1492
1,9,17,1480
1,9,18,1438
1,9,19,1399
1,9,20,1365
1,9,21,1357
1,9,22,1380
1,9,23,1428
1,10,0,1348
1,10,1,1292
1,10,2,1290
1,10,3,1349
1,10,4,1354
1,10,5,1334
1,10,6,1258
1,10,7,1237
1,10,8,1274
1,10,9,1345
1,10,10,1427
1,10,11,1444
1,10,12,1465
1,10,13,1444
1,10,14,1406
1,10,15,1377
1,10,16,1390
1,10,17,1436
1,10,18,1519
1,10,19,1529
1,10,20,1508
1,10,21,1460
1,10,22,1466
1,10,23,1496
1,11,0,1439
1,11,1,1452
1,11,2,1436
1,11,3,1435
1,11,4,1504
1,11,5,1556
1,11,6,1624
1,11,7,1689
1,11,8,1750
1,11,9,1782
1,11,10,1787
1,11,11,1787
1,11,12,1780
1,11,13,1788
1,11,14,1795
1,11,15,1726
1,11,16,1727
1,11,17,1689
1,11,18,1676
1,11,19,1672
1,11,20,1662
1,11,21,1550
1,11,22,1549
1,11,23,1568
1,12,0,1486
1,12,1,1502
1,12,2,1525
1,12,3,1562
